Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,348678.0000000001,Nickel,563.6856690888599,196.54479172656553,No comparison,(Gr-NMC)
Canada,Vans,Na-ion,BEV,2024,11000.0,1.9577507575642077,Current Measures,15567.750000000004,Manganese,554.878014362737,8.6382022080955,Variability in data,
Canada,Vans,Na-ion,BEV,2024,11000.0,1.9577507575642077,Current Measures,15567.750000000004,Nickel,334.688460516676,5.210346281208484,Small variability in data,
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Cobalt,216.0569064717551,0.09830589244464857,Small variability in data,mean of Small variability in data
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Copper,317.07315106442,0.1442682837343111,No comparison,(Gr-NMC)
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Lithium,373.86187056491104,0.17010715110703453,Variability in data,mean of Variability in data
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Manganese,158.5365755322099,0.0721341418671555,No comparison,(Gr-NMC)
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Nickel,563.6856690888599,0.25647697943543124,No comparison,(Gr-NMC)
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,14.52815,Aluminum,46.40007822418474,0.0006741072964526895,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,14.52815,Cobalt,1536.85058087675,0.022327595766564554,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,14.52815,Copper,493.2248344592003,0.007165644378748431,Variability in data,(Gr-LFP)
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,14.52815,Lithium,128.51391608843448,0.0018670694500201894,Small variability in data,mean of Small variability in data
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,14.52815,Manganese,1492.4507879970258,0.02168254891563899,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,14.52815,Nickel,140.0,0.002033941,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.0,Cobalt,500.0,0.0,Variability in data,
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.0,Copper,440.3793092817998,0.0,No comparison,(Gr-LMO)
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.0,Lithium,355.95804320184345,0.0,Variability in data,mean of Variability in data
Canada,Cars,LMO,FCEV,2024,20.0,1.0,Current Measures,0.0,Manganese,1277.1002589838204,0.0,No comparison,(Gr-LMO)
Canada,Cars,NCA,FCEV,2024,20.0,1.0,Current Measures,2.9056999999999973,Cobalt,149.56368345160004,0.0004345871950053138,Small variability in data,mean of Small variability in data
