Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,437250.0,Nickel,563.6856690888599,246.47155880910395,No comparison,(Gr-NMC)
Canada,Vans,Na-ion,BEV,2024,11000.0,1.9577507575642077,Current Measures,49500.0,Manganese,554.878014362737,27.46646171095548,Variability in data,
Canada,Vans,Na-ion,BEV,2024,11000.0,1.9577507575642077,Current Measures,49500.0,Nickel,334.688460516676,16.567078795575462,Small variability in data,
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Cobalt,216.0569064717551,0.09830589244464857,Small variability in data,mean of Small variability in data
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Copper,317.07315106442,0.1442682837343111,No comparison,(Gr-NMC)
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Lithium,373.86187056491104,0.17010715110703453,Variability in data,mean of Variability in data
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Manganese,158.5365755322099,0.0721341418671555,No comparison,(Gr-NMC)
Canada,Buses,NMC,FCEV,2024,13.0,5.6752374182090595,Current Measures,455.0,Nickel,563.6856690888599,0.25647697943543124,No comparison,(Gr-NMC)
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,3.5,Aluminum,46.40007822418474,0.00016240027378464658,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,3.5,Cobalt,1536.85058087675,0.005378977033068625,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,3.5,Copper,493.2248344592003,0.001726286920607201,Variability in data,(Gr-LFP)
Canada,Cars,LFP,FCEV,2024,20.0,1.0,Current Measures,3.5,Lithium,128.51391608843448,0.0004497987063095207,Small variability in data,mean of Small variability in data
