"","Scenario","Region","Variable","Type","Year","Value"
"186","Global Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2020,1309.409371
"187","Canada Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2020,194227.4217
"188","Current Measures","Quebec","Hydro / Wave / Tidal","Primary Fuel",2020,194227.4217
"189","Global Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2020,194227.4217
"190","Canada Net-zero","Quebec","Natural Gas","Primary Fuel",2020,86.55097888
"191","Current Measures","Quebec","Natural Gas","Primary Fuel",2020,86.55097888
"192","Global Net-zero","Quebec","Natural Gas","Primary Fuel",2020,86.55097888
"193","Canada Net-zero","Quebec","Oil","Primary Fuel",2020,556.76228
"194","Current Measures","Quebec","Oil","Primary Fuel",2020,556.76228
"195","Global Net-zero","Quebec","Oil","Primary Fuel",2020,556.76228
"196","Canada Net-zero","Quebec","Solar","Primary Fuel",2020,30.534530935
"197","Current Measures","Quebec","Solar","Primary Fuel",2020,30.534530935
"198","Global Net-zero","Quebec","Solar","Primary Fuel",2020,30.534530935
"199","Canada Net-zero","Quebec","Uranium","Primary Fuel",2020,0
"200","Global Net-zero","Quebec","Uranium","Primary Fuel",2020,0
"201","Canada Net-zero","Quebec","Wind","Primary Fuel",2020,11322.93233
"202","Current Measures","Quebec","Wind","Primary Fuel",2020,11322.93233
"203","Global Net-zero","Quebec","Wind","Primary Fuel",2020,11322.93233
"204","Canada Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2020,109.2505853
"205","Current Measures","Saskatchewan","Biomass / Geothermal","Primary Fuel",2020,109.2505853
"206","Global Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2020,109.2505853
"207","Canada Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2020,8169.142609
"208","Current Measures","Saskatchewan","Coal & Coke","Primary Fuel",2020,8169.142609
"209","Global Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2020,8169.142609
"210","Canada Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2020,3389.167165
"211","Current Measures","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2020,3389.167165
"212","Global Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2020,3389.167165
"213","Canada Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2020,10914.03107
"214","Current Measures","Saskatchewan","Natural Gas","Primary Fuel",2020,10914.03107
"215","Global Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2020,10914.03107
"216","Canada Net-zero","Saskatchewan","Oil","Primary Fuel",2020,1.019664
"217","Current Measures","Saskatchewan","Oil","Primary Fuel",2020,1.019664
"218","Global Net-zero","Saskatchewan","Oil","Primary Fuel",2020,1.019664
"219","Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2020,32.029300144
"220","Current Measures","Saskatchewan","Solar","Primary Fuel",2020,32.029300144
"221","Global Net-zero","Saskatchewan","Solar","Primary Fuel",2020,32.029300144
"222","Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2020,0
"223","Global Net-zero","Saskatchewan","Uranium","Primary Fuel",2020,0
"224","Canada Net-zero","Saskatchewan","Wind","Primary Fuel",2020,821.4689656
"225","Current Measures","Saskatchewan","Wind","Primary Fuel",2020,821.4689656
"226","Global Net-zero","Saskatchewan","Wind","Primary Fuel",2020,821.4689656
"227","Canada Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2020,0.244211757
"228","Current Measures","Yukon","Biomass / Geothermal","Primary Fuel",2020,0.244211757
"229","Global Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2020,0.244211757
"230","Canada Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2020,438.4084069
"231","Current Measures","Yukon","Hydro / Wave / Tidal","Primary Fuel",2020,438.4084069
"232","Global Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2020,438.4084069
"233","Canada Net-zero","Yukon","Natural Gas","Primary Fuel",2020,63.61556193
"234","Current Measures","Yukon","Natural Gas","Primary Fuel",2020,63.61556193
