Technology,Sub-technology,Metal,Metal intensity,Unit,Reference,Fiability of the data,Comment
Wind,Offshore,Boron,7.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Boron,1.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,DD-EESG,Chromium,525.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Chromium,525.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Chromium,382.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-DFIG (et SCIG),Chromium,470.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Chromium,580.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Offshore,Chromium,525.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Offshore,Chromium,372.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Chromium,470.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,Chromium,683.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,DD-EESG,Concrete,369000.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Concrete,243000.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,DDSG,Concrete,818261.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,DFIG,Concrete,380000.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,GB-DFIG (et SCIG),Concrete,355000.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Concrete,413000.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Onshore DD et AG,Concrete,365440.0,t/GW,"(Garrett, P., et Rønde, K., 2011)",Small variability in data,
Wind,Wind farm,Concrete,487879.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,Aggregated,Copper,2000.0,t/GW,"(Tokimatsu et al, 2017)",Small variability in data,
Wind,DD-EESG,Copper,5000.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Copper,3000.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Copper,5794.884615384615,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-DFIG (et SCIG),Copper,1400.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Copper,950.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Induction,Copper,4082.0,t/GW,"(Månberger, 2018)",Small variability in data,
Wind,Offshore,Copper,8000.0,t/GW,"(IEA, 2022)",Important variability in data,
Wind,Offshore,Copper,2681.4,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,
Wind,Offshore,Copper,9371.0,t/GW,(Watari et al. 2019),Important variability in data,
Wind,Onshore,Copper,2900.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,Copper,3840.9000000000005,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,
Wind,Onshore,Copper,2497.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore DD et AG,Copper,3320.0,t/GW,"(Garrett, P., et Rønde, K., 2011)",Small variability in data,
Wind,PM,Copper,4700.0,t/GW,"(Månberger, 2018)",Small variability in data,
Wind,Aggregated,Dysprosium,33.0,t/GW,"(Tokimatsu et al, 2017)",Important variability in data,
Wind,DD-EESG,Dysprosium,6.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Dysprosium,17.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,GB-DFIG (et SCIG),Dysprosium,2.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Dysprosium,6.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Offshore,Dysprosium,16.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore DD,Dysprosium,12.0,t/GW,"(U.S. Department of Energy., 2011)",Small variability in data,
Wind,PM,Dysprosium,13.0,t/GW,"(Månberger, 2018)",Small variability in data,
Wind,DD-EESG,Glass/ carbon composites,8100.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Glass/ carbon composites,8100.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,DDSG,Glass/ carbon composites,7549.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,DFIG,Glass/ carbon composites,4013.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,GB-DFIG (et SCIG),Glass/ carbon composites,7700.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Glass/ carbon composites,8400.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Onshore DD et AG,Glass/ carbon composites,9580.0,t/GW,"(Garrett, P., et Rønde, K., 2011)",Small variability in data,
Wind,Wind farm,Glass/ carbon composites,10255.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,Aggregated,Iron,140000.0,t/GW,"(Tokimatsu et al, 2017)",Important variability in data,
Wind,DD-EESG,Iron,20100.0,t/GW,"(European Commission, 2020)",Variability in data,Mostly onshore
Wind,DD-EESG,Iron,129175.2,t/GW,"(European Commission, 2020)",Variability in data,Mostly onshore ; Calculated from steel
Wind,DD-PMSG,Iron,20100.0,t/GW,"(European Commission, 2020)",Variability in data,Mostly offshore
Wind,DD-PMSG,Iron,116942.7,t/GW,"(European Commission, 2020)",Variability in data,Mostly offshore ; Calculated from steel
Wind,DDSG,Iron,138973.0,t/GW,"(ADEME et Cycleco, 2015)",Variability in data,
Wind,DFIG,Iron,91897.0,t/GW,"(ADEME et Cycleco, 2015)",Variability in data,
Wind,Direct-drive,Iron,104480.229,t/GW,"(Liang et al., 2022)",Variability in data,Calculated from steel
Wind,GB-DFIG (et SCIG),Iron,18000.0,t/GW,"(European Commission, 2020)",Variability in data,Mostly Onshore
Wind,GB-DFIG (et SCIG),Iron,110581.8,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore ; Calculated from steel
Wind,GB-PMSG,Iron,20800.0,t/GW,"(European Commission, 2020)",Variability in data,Hybride
Wind,GB-PMSG,Iron,104710.2,t/GW,"(European Commission, 2020)",Variability in data,Hybride ; Calculated from steel
Wind,Offshore,Iron,434274.98561999993,t/GW,"(Van Oorschot et al., 2022)",Important variability in data,Calculated from steel
Wind,Offshore,Iron,326363.1,t/GW,(Watari et al. 2019),Important variability in data,Calculated from steel
Wind,Onshore,Iron,118459.82358000001,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,Calculated from steel
Wind,Onshore,Iron,117417.321,t/GW,(Watari et al. 2019),Small variability in data,Calculated from steel
Wind,Onshore DD et AG,Iron,122780.0,t/GW,"(Garrett, P., et Rønde, K., 2011)",Small variability in data,
Wind,Offshore,Lead,5255.0,t/GW,"(Liang et al., 2022)",Small variability in data,"6720, 3790"
Wind,DD-EESG,Manganese,790.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Manganese,790.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,GB-DFIG (et SCIG),Manganese,780.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Manganese,800.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Offshore,Manganese,790.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Offshore,Manganese,57.0,t/GW,(Watari et al. 2019),Important variability in data,
Wind,Onshore,Manganese,780.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,Manganese,57.0,t/GW,(Watari et al. 2019),Important variability in data,
Wind,DD-EESG,Molybdenum,109.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Molybdenum,109.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,GB-DFIG (et SCIG),Molybdenum,99.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Molybdenum,119.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Offshore,Molybdenum,109.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Offshore,Molybdenum,335.0,t/GW,(Watari et al. 2019),Important variability in data,
Wind,Onshore,Molybdenum,99.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,Molybdenum,335.0,t/GW,(Watari et al. 2019),Important variability in data,
Wind,Aggregated,Neodymium,186.0,t/GW,"(Tokimatsu et al, 2017)",Small variability in data,
Wind,DD-EESG,Neodymium,28.0,t/GW,"(European Commission, 2020)",No comparison,Mostly onshore
Wind,DD-PMSG,Neodymium,180.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Neodymium,169.16666666666666,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-DFIG (et SCIG),Neodymium,12.0,t/GW,"(European Commission, 2020)",No comparison,Mostly Onshore
Wind,GB-PMSG,Neodymium,51.0,t/GW,"(European Commission, 2020)",No comparison,Hybride
Wind,Offshore,Neodymium,148.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore DD,Neodymium,186.0,t/GW,"(U.S. Department of Energy., 2011)",Small variability in data,
Wind,PM,Neodymium,200.0,t/GW,"(Månberger, 2018)",Small variability in data,
Wind,DD-EESG,Nickel,340.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Nickel,240.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Nickel,200.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-DFIG (et SCIG),Nickel,430.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Nickel,440.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Induction,Nickel,377.0,t/GW,"(Månberger, 2018)",Small variability in data,
Wind,Offshore,Nickel,240.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Offshore,Nickel,427.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Nickel,403.5,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,Nickel,427.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,PM,Nickel,377.0,t/GW,"(Månberger, 2018)",Small variability in data,
Wind,DD-EESG,Polymers,4600.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Polymers,4600.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,DFIG,Polymers,233.0,t/GW,"(ADEME et Cycleco, 2015)",Variability in data,
Wind,GB-DFIG (et SCIG),Polymers,4600.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Polymers,4600.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Wind farm,Polymers,1818.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,DD-EESG,Praesodymium,9.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Praesodymium,35.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Praesodymium,32.666666666666664,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-PMSG,Praesodymium,4.0,t/GW,"(European Commission, 2020)",No comparison,Hybride
Wind,Offshore,Praesodymium,33.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Praesodymium,3.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Aggregated,REE,219.0,t/GW,"(Tokimatsu et al, 2017)",Small variability in data,
Wind,DD-EESG,REE,44.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,REE,239.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,GB-DFIG (et SCIG),REE,14.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,REE,62.0,t/GW,"(European Commission, 2020)",No comparison,Hybride
Wind,Offshore,REE,99.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Offshore,REE,204.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,REE,99.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,REE,4.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,DD-EESG,Terbium,1.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Terbium,7.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Terbium,8.5,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-PMSG,Terbium,1.0,t/GW,"(European Commission, 2020)",No comparison,Hybride
Wind,Offshore,Terbium,7.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Terbium,1.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Offshore,Vanadium,7000.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,Offshore,Vanadium,7000.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Vanadium,90.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,Onshore,Vanadium,90.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Direct-drive,Yttrium,1.2,t/GW,"(Liang et al., 2022)",No comparison,
Wind,DD-EESG,Zinc,5500.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Zinc,5500.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Zinc,5500.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-DFIG (et SCIG),Zinc,5500.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Zinc,5500.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
Wind,Offshore,Zinc,5500.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Offshore,Zinc,5450.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore,Zinc,5500.0,t/GW,"(IEA, 2022)",Small variability in data,
Wind,Onshore,Zinc,5450.0,t/GW,(Watari et al. 2019),Small variability in data,
