Country,Mode,Powertrain,Year,Value,Mass_vehicule,Scenario
Canada,Buses,FCEV,2035,101.01566313020302,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2035,155.40871250800464,1.0,Current Measures
Canada,Trucks,FCEV,2035,46.62261375240139,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2035,481767.00877481437,1.0,Current Measures
Canada,Vans,PHEV,2035,49730.78800256149,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2036,1459.4890877308367,0.09808569078889517,Current Measures
Canada,Buses,BEV,2036,1802.8982848439746,5.6752374182090595,Current Measures
Canada,Cars,BEV,2036,1631193.6862874057,1.0,Current Measures
Canada,Trucks,BEV,2036,17170.4598556569,3.6892781241792854,Current Measures
Canada,Vans,BEV,2036,94437.52920611296,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2036,111.60798906176986,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2036,171.704598556569,1.0,Current Measures
Canada,Trucks,FCEV,2036,51.5113795669707,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2036,532284.255525364,1.0,Current Measures
Canada,Vans,PHEV,2036,54945.47153810208,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2037,1600.2431679329861,0.09808569078889517,Current Measures
Canada,Buses,BEV,2037,1976.7709721525123,5.6752374182090595,Current Measures
Canada,Cars,BEV,2037,1788507.0700427492,1.0,Current Measures
Canada,Trucks,BEV,2037,18826.390210976308,3.6892781241792854,Current Measures
Canada,Vans,BEV,2037,103545.14616036968,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2037,122.371536371346,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2037,188.26390210976308,1.0,Current Measures
Canada,Trucks,FCEV,2037,56.47917063292892,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2037,583618.0965402655,1.0,Current Measures
Canada,Vans,PHEV,2037,60244.44867512418,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2038,1742.6816836566918,0.09808569078889517,Current Measures
Canada,Buses,BEV,2038,2152.724432752384,5.6752374182090595,Current Measures
Canada,Cars,BEV,2038,1947703.058204538,1.0,Current Measures
Canada,Trucks,BEV,2038,20502.13745478461,3.6892781241792854,Current Measures
Canada,Vans,BEV,2038,112761.75600131536,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2038,133.26389345609996,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2038,205.0213745478461,1.0,Current Measures
Canada,Trucks,FCEV,2038,61.50641236435383,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2038,635566.2610983229,1.0,Current Measures
Canada,Vans,PHEV,2038,65606.83985531075,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2039,1886.0190553661364,0.09808569078889517,Current Measures
Canada,Buses,BEV,2039,2329.7882448640507,5.6752374182090595,Current Measures
Canada,Cars,BEV,2039,2107903.6501150937,1.0,Current Measures
Canada,Trucks,BEV,2039,22188.459474895724,3.6892781241792854,Current Measures
Canada,Vans,BEV,2039,122036.52711192648,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2039,144.22498658682218,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2039,221.88459474895723,1.0,Current Measures
Canada,Trucks,FCEV,2039,66.56537842468717,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2039,687842.2437217674,1.0,Current Measures
Canada,Vans,PHEV,2039,71003.07031966631,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2040,2029.3476003392236,0.09808569078889517,Current Measures
Canada,Buses,BEV,2040,2506.8411533602175,5.6752374182090595,Current Measures
Canada,Cars,BEV,2040,2268094.3768497207,1.0,Current Measures
Canada,Trucks,BEV,2040,23874.67765104969,3.6892781241792854,Current Measures
Canada,Vans,BEV,2040,131310.7270807733,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2040,155.18540473182298,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2040,238.74677651049691,1.0,Current Measures
Canada,Trucks,FCEV,2040,71.62403295314907,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2040,740115.0071825404,1.0,Current Measures
Canada,Vans,PHEV,2040,76398.96848335901,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2041,2163.297737932467,0.09808569078889517,Current Measures
Canada,Buses,BEV,2041,2672.308970387165,5.6752374182090595,Current Measures
Canada,Cars,BEV,2041,2417803.354159816,1.0,Current Measures
Canada,Trucks,BEV,2041,25450.561622734906,3.6892781241792854,Current Measures
Canada,Vans,BEV,2041,139978.088925042,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2041,165.4286505477769,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2041,254.50561622734907,1.0,Current Measures
Canada,Trucks,FCEV,2041,76.35168486820471,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2041,788967.4103047821,1.0,Current Measures
Canada,Vans,PHEV,2041,81441.79719275169,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2042,2288.4888108136174,0.09808569078889517,Current Measures
