Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap
Canada,Buses,All,FCEV,2029,47.07294172623271,Current Measures,35.0,1647.552960418145
Canada,Cars,All,FCEV,2029,72.41991034805034,Current Measures,1.75,126.73484310908809
Canada,Trucks,All,FCEV,2029,21.7259731044151,Current Measures,350.0,7604.090586545285
Canada,Cars,All,PHEV,2029,224501.72207895602,Current Measures,15.0,3367525.83118434
Canada,Vans,All,PHEV,2029,23174.371311376108,Current Measures,21.8,505201.2945879992
Canada,2 and 3 wheelers,All,BEV,2030,725.7048408591357,Current Measures,3.0,2177.114522577407
Canada,Buses,All,BEV,2030,896.4589210612853,Current Measures,300.0,268937.6763183856
Canada,Cars,All,BEV,2030,811081.8809602105,Current Measures,65.0,52720322.26241368
Canada,Trucks,All,BEV,2030,8537.70401010748,Current Measures,350.0,2988196.403537618
Canada,Vans,All,BEV,2030,46957.372055591135,Current Measures,75.0,3521802.904169335
Canada,Buses,All,FCEV,2030,55.49507606569861,Current Measures,35.0,1942.3276622994515
Canada,Cars,All,FCEV,2030,85.37704010107478,Current Measures,1.75,149.40982017688088
Canada,Trucks,All,FCEV,2030,25.613112030322437,Current Measures,350.0,8964.589210612852
Canada,Cars,All,PHEV,2030,264668.82431333186,Current Measures,15.0,3970032.364699978
Canada,Vans,All,PHEV,2030,27320.652832343934,Current Measures,21.8,595590.2317450978
Canada,2 and 3 wheelers,All,BEV,2031,826.3031551255646,Current Measures,3.0,2478.909465376694
Canada,Buses,All,BEV,2031,1020.7274269198151,Current Measures,300.0,306218.2280759445
Canada,Cars,All,BEV,2031,923515.2910226899,Current Measures,65.0,60028493.91647484
Canada,Trucks,All,BEV,2031,9721.213589712524,Current Measures,350.0,3402424.756399384
Canada,Vans,All,BEV,2031,53466.67474341889,Current Measures,75.0,4010000.6057564165
Canada,Buses,All,FCEV,2031,63.18788833313141,Current Measures,35.0,2211.5760916595996
Canada,Cars,All,FCEV,2031,97.21213589712525,Current Measures,1.75,170.1212378199692
Canada,Trucks,All,FCEV,2031,29.163640769137572,Current Measures,350.0,10207.274269198151
Canada,Cars,All,PHEV,2031,301357.6212810883,Current Measures,15.0,4520364.319216324
Canada,Vans,All,PHEV,2031,31107.88348708008,Current Measures,21.8,678151.8600183458
Canada,2 and 3 wheelers,All,BEV,2032,936.853614635075,Current Measures,3.0,2810.560843905225
Canada,Buses,All,BEV,2032,1157.2897592550928,Current Measures,300.0,347186.9277765278
Canada,Cars,All,BEV,2032,1047071.6869450839,Current Measures,65.0,68059659.65143046
Canada,Trucks,All,BEV,2032,11021.807231000883,Current Measures,350.0,3857632.530850309
Canada,Vans,All,BEV,2032,60619.939770504854,Current Measures,75.0,4546495.482787864
Canada,Buses,All,FCEV,2032,71.64174700150573,Current Measures,35.0,2507.461145052701
Canada,Cars,All,FCEV,2032,110.21807231000884,Current Measures,1.75,192.88162654251545
Canada,Trucks,All,FCEV,2032,33.06542169300265,Current Measures,350.0,11572.897592550928
Canada,Cars,All,PHEV,2032,341676.0241610274,Current Measures,15.0,5125140.362415411
Canada,Vans,All,PHEV,2032,35269.783139202824,Current Measures,21.8,768881.2724346216
Canada,2 and 3 wheelers,All,BEV,2033,1056.485314733727,Current Measures,3.0,3169.4559442011805
Canada,Buses,All,BEV,2033,1305.0700946710742,Current Measures,300.0,391521.02840132226
Canada,Cars,All,BEV,2033,1180777.7047024006,Current Measures,65.0,76750550.80565605
Canada,Trucks,All,BEV,2033,12429.238996867374,Current Measures,350.0,4350233.648903581
Canada,Vans,All,BEV,2033,68360.81448277055,Current Measures,75.0,5127061.086207791
Canada,Buses,All,FCEV,2033,80.79005347963793,Current Measures,35.0,2827.6518717873278
Canada,Cars,All,FCEV,2033,124.29238996867375,Current Measures,1.75,217.51168244517905
Canada,Trucks,All,FCEV,2033,37.28771699060212,Current Measures,350.0,13050.700946710742
Canada,Cars,All,PHEV,2033,385306.4089028886,Current Measures,15.0,5779596.133543329
Canada,Vans,All,PHEV,2033,39773.5647899756,Current Measures,21.8,867063.7124214681
Canada,2 and 3 wheelers,All,BEV,2034,1185.0246629398225,Current Measures,3.0,3555.0739888194676
Canada,Buses,All,BEV,2034,1463.8539953962515,Current Measures,300.0,439156.19861887547
Canada,Cars,All,BEV,2034,1324439.329168037,Current Measures,65.0,86088556.39592241
Canada,Trucks,All,BEV,2034,13941.466622821443,Current Measures,350.0,4879513.317987505
Canada,Vans,All,BEV,2034,76678.06642551793,Current Measures,75.0,5750854.981913845
Canada,Buses,All,FCEV,2034,90.61953304833938,Current Measures,35.0,3171.6836566918782
Canada,Cars,All,FCEV,2034,139.41466622821443,Current Measures,1.75,243.97566589937526
Canada,Trucks,All,FCEV,2034,41.824399868464326,Current Measures,350.0,14638.539953962514
Canada,Cars,All,PHEV,2034,432185.4653074647,Current Measures,15.0,6482781.9796119705
Canada,Vans,All,PHEV,2034,44612.693193028615,Current Measures,21.8,972556.7116080238
Canada,2 and 3 wheelers,All,BEV,2035,1320.9740563180394,Current Measures,3.0,3962.922168954118
Canada,Buses,All,BEV,2035,1631.7914813340487,Current Measures,300.0,489537.44440021465
Canada,Cars,All,BEV,2035,1476382.7688260442,Current Measures,65.0,95964879.97369286
Canada,Trucks,All,BEV,2035,15540.871250800465,Current Measures,350.0,5439304.937780162
Canada,Vans,All,BEV,2035,85474.79187940255,Current Measures,75.0,6410609.390955191
Canada,Buses,All,FCEV,2035,101.01566313020302,Current Measures,35.0,3535.548209557106
