Scenario,Region,Variable,Year,Value,Unit,Associated_MI
Canada Net-zero,Canada,Oil,2044,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2045,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2046,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2047,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2048,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2049,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2050,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Coal with CCUS,2020,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Onshore Wind,2021,13.88131,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2022,15.24031,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2023,16.14031,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2024,17.80931,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2025,19.376810000000003,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2026,20.420810000000003,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2027,21.47681,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2028,22.53781,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2029,23.582810000000002,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2030,24.69575,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2031,30.07075,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2032,35.38275,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2033,40.77275,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2034,46.22275,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2035,51.742,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2036,54.992,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2037,58.222,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2038,61.552,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2039,64.892,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2040,68.1683,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2041,72.84830000000001,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2042,77.6383,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2043,82.4183,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2044,87.1183,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2045,91.91789999999999,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2046,94.7319,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2047,97.5949,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2048,100.4189,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2049,103.2419,GW,"Wind, Onshore"
Canada Net-zero,Canada,Onshore Wind,2050,106.0841,GW,"Wind, Onshore"
Current Measures,Canada,Coal with CCUS,2020,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Solar (Distributed),2021,2.420077124844,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2022,2.482693419916,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2023,2.61030971499,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2024,2.755783152964,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2025,2.9570899241379998,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2026,3.204429568662,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2027,3.451769213987,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2028,3.69910885941299,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2029,3.94644850483599,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2030,4.193788150262001,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2031,4.4595196725,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2032,4.72525119574,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2033,4.990982717978,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2034,5.256714240216,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2035,5.522445763456,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2036,5.788177285494,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2037,6.053908808031999,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2038,6.3196403305699995,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2039,6.585371853110001,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2040,6.851103375648,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2041,6.986759175773,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2042,7.122414976787001,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2043,7.2580707769210004,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2044,7.3937265770459994,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2045,7.529382379171,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2046,7.665038179174999,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2047,7.8006939793,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2048,7.936349779434,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2049,8.072005580448,GW,"Solar PV, Aggregated"
Canada Net-zero,Canada,Solar (Distributed),2050,8.207661380572999,GW,"Solar PV, Aggregated"
Global Net-zero,Canada,Coal with CCUS,2020,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Solar (Utility scale),2021,3.3509360000000004,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2022,3.994936,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2023,4.225936,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2024,4.225936,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2025,4.678966999999999,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2026,4.942367,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2027,5.2047669999999995,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2028,5.467167000000001,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2029,5.730567,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2030,6.028967,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2031,8.983967,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2032,11.923967000000001,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2033,14.883967,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2034,17.837967,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2035,20.890877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2036,21.240877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2037,21.580877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2038,21.930877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2039,22.280877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2040,22.620877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2041,23.980877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2042,25.340877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2043,26.690877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2044,28.040877000000002,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2045,29.400877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2046,30.510877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2047,31.710877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2048,32.920877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2049,34.130877,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Solar (Utility scale),2050,34.867377,GW,"Solar CSP, Aggregated"
Canada Net-zero,Canada,Hydro,2020,81.793,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Total,2021,151.709873124844,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2021,151.709873124844,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2021,151.709873124844,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2021,151.709873124844,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2022,153.085489419916,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2022,153.085489419916,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2022,153.085489419916,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2022,153.085489419916,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2023,154.82410571499,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2023,154.82410571499,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2023,154.82410571499,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2023,154.82410571499,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2024,156.137079152964,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2024,156.137079152964,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2024,156.137079152964,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2024,156.137079152964,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2025,163.333416924138,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2025,163.333416924138,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2025,163.333416924138,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2025,163.333416924138,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2026,167.691156568662,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2026,167.691156568662,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2026,167.691156568662,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2026,167.691156568662,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2027,172.242896213987,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2027,172.242896213987,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2027,172.242896213987,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2027,172.242896213987,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2028,177.269635859413,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2028,177.269635859413,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2028,177.269635859413,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2028,177.269635859413,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2029,182.00087550483602,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2029,182.00087550483602,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2029,182.00087550483602,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2029,182.00087550483602,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2030,188.484755150262,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2030,188.484755150262,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2030,188.484755150262,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2030,188.484755150262,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2031,199.9559866725,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2031,199.9559866725,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2031,199.9559866725,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2031,199.9559866725,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2032,213.53481819574,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2032,213.53481819574,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2032,213.53481819574,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2032,213.53481819574,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2033,226.895949717978,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2033,226.895949717978,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2033,226.895949717978,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2033,226.895949717978,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2034,240.819081240216,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2034,240.819081240216,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2034,240.819081240216,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2034,240.819081240216,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2035,246.601672763456,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2035,246.601672763456,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2035,246.601672763456,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2035,246.601672763456,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2036,252.42020428549398,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2036,252.42020428549398,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2036,252.42020428549398,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2036,252.42020428549398,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2037,259.44423580803203,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2037,259.44423580803203,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2037,259.44423580803203,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2037,259.44423580803203,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2038,265.79096733056997,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2038,265.79096733056997,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2038,265.79096733056997,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2038,265.79096733056997,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2039,273.04769885311003,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2039,273.04769885311003,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2039,273.04769885311003,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2039,273.04769885311003,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2040,279.153730375648,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2040,279.153730375648,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2040,279.153730375648,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2040,279.153730375648,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2041,287.471786175773,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2041,287.471786175773,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2041,287.471786175773,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2041,287.471786175773,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2042,295.30404197678695,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2042,295.30404197678695,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2042,295.30404197678695,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2042,295.30404197678695,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2043,303.996697776921,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2043,303.996697776921,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2043,303.996697776921,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2043,303.996697776921,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2044,313.276353577046,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2044,313.276353577046,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2044,313.276353577046,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2044,313.276353577046,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2045,322.027609379171,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2045,322.027609379171,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2045,322.027609379171,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2045,322.027609379171,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2046,327.902265179175,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2046,327.902265179175,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2046,327.902265179175,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2046,327.902265179175,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2047,334.7259209793,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2047,334.7259209793,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2047,334.7259209793,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2047,334.7259209793,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2048,341.12557677943397,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2048,341.12557677943397,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2048,341.12557677943397,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2048,341.12557677943397,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2049,347.055232580448,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2049,347.055232580448,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2049,347.055232580448,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2049,347.055232580448,GW,"Grid, Distribution transformers"
Canada Net-zero,Canada,Total,2050,350.80658838057303,GW,"Grid, Transmission grid"
Canada Net-zero,Canada,Total,2050,350.80658838057303,GW,"Grid, Distribution grid"
Canada Net-zero,Canada,Total,2050,350.80658838057303,GW,"Grid, Transmission transformers"
Canada Net-zero,Canada,Total,2050,350.80658838057303,GW,"Grid, Distribution transformers"
Current Measures,Canada,Hydro,2020,81.793,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Uranium,2021,13.105,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2022,13.105,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2023,12.105,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2024,12.105,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2025,12.105,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2026,11.205,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2027,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2028,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2029,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2030,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2031,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2032,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2033,10.805,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2034,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2035,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2036,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2037,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2038,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2039,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2040,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2041,11.605,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2042,10.9,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2043,10.9,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2044,11.579,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2045,11.579,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2046,11.579,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2047,11.579,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2048,11.579,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2049,11.579,GW,"Nuclear, Nuclear Aggregated"
Canada Net-zero,Canada,Uranium,2050,11.579,GW,"Nuclear, Nuclear Aggregated"
Global Net-zero,Canada,Hydro,2020,81.793,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Uranium SMR,2021,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2021,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2022,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2022,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2023,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2023,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2024,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2024,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2025,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2025,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2026,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2026,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2027,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2027,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2028,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2028,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2029,0.0,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2029,0.0,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2030,0.24,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2030,0.06,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2031,2.3136799999999997,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2031,0.5784199999999999,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2032,4.388,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2032,1.097,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2033,6.4576,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2033,1.6144,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2034,8.532800000000002,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2034,2.1332000000000004,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2035,10.6976,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2035,2.6744,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2036,12.308,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2036,3.077,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2037,13.9312,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2037,3.4828,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2038,15.5096,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2038,3.8774,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2039,17.1728,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2039,4.2932,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2040,18.7544,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2040,4.6886,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2041,18.9808,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2041,4.7452,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2042,19.1992,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2042,4.7998,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2043,19.433600000000002,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2043,4.8584000000000005,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2044,19.66,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2044,4.915,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2045,19.8944,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2045,4.9736,GW,"Nuclear, HTGR"
Canada Net-zero,Canada,Uranium SMR,2046,19.9568,GW,"Nuclear, Nuclear Boiling water power plant"
Canada Net-zero,Canada,Uranium SMR,2046,4.9892,GW,"Nuclear, HTGR"
