material,stage,country,year,value,unit,note
copper,mine,Other countries,2022,3400000,t,
copper,mine,Peru,1994,399000,t,
copper,mine,Peru,1995,381000,t,
copper,mine,Peru,1996,572000,t,
copper,mine,Peru,1997,491000,t,
copper,mine,Peru,1998,522000,t,
copper,mine,Peru,1999,536000,t,
copper,mine,Peru,2000,554000,t,
copper,mine,Peru,2001,722000,t,
copper,mine,Peru,2002,843000,t,
copper,mine,Peru,2003,831000,t,
copper,mine,Peru,2004,1040000,t,
copper,mine,Peru,2005,1010000,t,
copper,mine,Peru,2006,1049000,t,
copper,mine,Peru,2007,1190000,t,
copper,mine,Peru,2008,1270000,t,
copper,mine,Peru,2009,1275000,t,
copper,mine,Peru,2010,1250000,t,
copper,mine,Peru,2011,1240000,t,
copper,mine,Peru,2012,1300000,t,
copper,mine,Peru,2013,1380000,t,
copper,mine,Peru,2014,1380000,t,
copper,mine,Peru,2015,1700000,t,
copper,mine,Peru,2016,2350000,t,
copper,mine,Peru,2017,2450000,t,
copper,mine,Peru,2018,2440000,t,
copper,mine,Peru,2019,2460000,t,
copper,mine,Peru,2020,2150000,t,
copper,mine,Peru,2021,2300000,t,
copper,mine,Peru,2022,2200000,t,
copper,mine,Philippines,1994,110000,t,
copper,mine,Poland,1994,328000,t,
copper,mine,Poland,1995,384000,t,
copper,mine,Poland,1996,422000,t,
copper,mine,Poland,1997,414000,t,
copper,mine,Poland,1998,415000,t,
copper,mine,Poland,1999,460000,t,
copper,mine,Poland,2000,456000,t,
copper,mine,Poland,2001,474000,t,
copper,mine,Poland,2002,503000,t,
copper,mine,Poland,2003,495000,t,
copper,mine,Poland,2004,531000,t,
copper,mine,Poland,2005,523000,t,
copper,mine,Poland,2006,512000,t,
copper,mine,Poland,2007,452000,t,
copper,mine,Poland,2008,430000,t,
copper,mine,Poland,2009,439000,t,
copper,mine,Poland,2010,425000,t,
copper,mine,Poland,2011,427000,t,
copper,mine,Poland,2012,427000,t,
copper,mine,Poland,2013,429000,t,
copper,mine,Poland,2019,399000,t,
copper,mine,Poland,2020,393000,t,
copper,mine,Poland,2021,391000,t,
copper,mine,Poland,2022,390000,t,
copper,mine,Russia,1994,573000,t,
copper,mine,Russia,1995,591000,t,
copper,mine,Russia,1996,520000,t,
copper,mine,Russia,1997,505000,t,
copper,mine,Russia,1998,515000,t,
copper,mine,Russia,1999,530000,t,
copper,mine,Russia,2000,570000,t,
copper,mine,Russia,2001,620000,t,
copper,mine,Russia,2002,695000,t,
copper,mine,Russia,2003,675000,t,
copper,mine,Russia,2004,675000,t,
copper,mine,Russia,2005,700000,t,
copper,mine,Russia,2006,725000,t,
copper,mine,Russia,2007,740000,t,
copper,mine,Russia,2008,750000,t,
copper,mine,Russia,2009,725000,t,
copper,mine,Russia,2010,703000,t,
copper,mine,Russia,2011,713000,t,
copper,mine,Russia,2012,883000,t,
copper,mine,Russia,2013,833000,t,
copper,mine,Russia,2014,742000,t,
copper,mine,Russia,2015,732000,t,
copper,mine,Russia,2017,705000,t,
copper,mine,Russia,2018,751000,t,
copper,mine,Russia,2019,801000,t,
copper,mine,Russia,2020,810000,t,
copper,mine,Russia,2021,940000,t,
copper,mine,Russia,2022,1000000,t,
copper,mine,United States,1994,1810000,t,
copper,mine,United States,1995,1850000,t,
copper,mine,United States,1996,1920000,t,
copper,mine,United States,1997,1940000,t,
copper,mine,United States,1998,1860000,t,
copper,mine,United States,1999,1600000,t,
copper,mine,United States,2000,1440000,t,
copper,mine,United States,2001,1340000,t,
copper,mine,United States,2002,1140000,t,
copper,mine,United States,2003,1120000,t,
copper,mine,United States,2004,1160000,t,
copper,mine,United States,2005,1140000,t,
copper,mine,United States,2006,1200000,t,
copper,mine,United States,2007,1170000,t,
copper,mine,United States,2008,1310000,t,
copper,mine,United States,2009,1180000,t,
copper,mine,United States,2010,1110000,t,
copper,mine,United States,2011,1110000,t,
copper,mine,United States,2012,1170000,t,
copper,mine,United States,2013,1250000,t,
copper,mine,United States,2014,1360000,t,
copper,mine,United States,2015,1380000,t,
copper,mine,United States,2016,1430000,t,
copper,mine,United States,2017,1260000,t,
copper,mine,United States,2018,1220000,t,
copper,mine,United States,2019,1260000,t,
copper,mine,United States,2020,1200000,t,
copper,mine,United States,2021,1230000,t,
copper,mine,United States,2022,1300000,t,
copper,mine,World,1994,9430000,t,
copper,mine,World,1995,10000000,t,
copper,mine,World,1996,11000000,t,
copper,mine,World,1997,11400000,t,
copper,mine,World,1998,12200000,t,
copper,mine,World,1999,12600000,t,
copper,mine,World,2000,13200000,t,
copper,mine,World,2001,13700000,t,
copper,mine,World,2002,13600000,t,
copper,mine,World,2003,13600000,t,
copper,mine,World,2004,14600000,t,
copper,mine,World,2005,15000000,t,
copper,mine,World,2006,15100000,t,
copper,mine,World,2007,15400000,t,
copper,mine,World,2008,15400000,t,
copper,mine,World,2009,15900000,t,
copper,mine,World,2010,15900000,t,
copper,mine,World,2011,16100000,t,
copper,mine,World,2012,16900000,t,
copper,mine,World,2013,18300000,t,
copper,mine,World,2014,18500000,t,
copper,mine,World,2015,19100000,t,
copper,mine,World,2016,20100000,t,
copper,mine,World,2017,20000000,t,
copper,mine,World,2018,20400000,t,
copper,mine,World,2019,20400000,t,
copper,mine,World,2020,20600000,t,
copper,mine,World,2021,21200000,t,
copper,mine,World,2022,22000000,t,
copper,mine,Zaire,1994,40000,t,
copper,mine,Zaire,1995,29000,t,
copper,mine,Zambia,1994,385000,t,
copper,mine,Zambia,1995,329000,t,
copper,mine,Zambia,1996,334000,t,
copper,mine,Zambia,1997,353000,t,
copper,mine,Zambia,1998,320000,t,
copper,mine,Zambia,1999,260000,t,
copper,mine,Zambia,2000,240000,t,
copper,mine,Zambia,2001,300000,t,
copper,mine,Zambia,2002,330000,t,
copper,mine,Zambia,2003,330000,t,
copper,mine,Zambia,2004,427000,t,
copper,mine,Zambia,2005,436000,t,
copper,mine,Zambia,2006,476000,t,
copper,mine,Zambia,2007,520000,t,
copper,mine,Zambia,2008,546000,t,
copper,mine,Zambia,2009,697000,t,
copper,mine,Zambia,2010,690000,t,
copper,mine,Zambia,2011,668000,t,
copper,mine,Zambia,2012,690000,t,
copper,mine,Zambia,2013,760000,t,
copper,mine,Zambia,2014,708000,t,
copper,mine,Zambia,2015,712000,t,
copper,mine,Zambia,2016,763000,t,
copper,mine,Zambia,2017,794000,t,
copper,mine,Zambia,2018,854000,t,
copper,mine,Zambia,2019,797000,t,
copper,mine,Zambia,2020,853000,t,
copper,mine,Zambia,2021,842000,t,
copper,mine,Zambia,2022,770000,t,
copper,refinery,Australia,2019,426000,t,
copper,refinery,Australia,2020,427000,t,
copper,refinery,Australia,2021,385000,t,
copper,refinery,Australia,2022,380000,t,
copper,refinery,Canada,2019,281000,t,
copper,refinery,Canada,2020,290000,t,
copper,refinery,Canada,2021,287000,t,
copper,refinery,Canada,2022,310000,t,
copper,refinery,Chile,2019,2270000,t,
copper,refinery,Chile,2020,2330000,t,
copper,refinery,Chile,2021,2270000,t,
copper,refinery,Chile,2022,2100000,t,
copper,refinery,China,2019,9780000,t,
copper,refinery,China,2020,10000000,t,
copper,refinery,China,2021,10500000,t,
copper,refinery,China,2022,11000000,t,
copper,refinery,Congo (Kinshasa),2019,1080000,t,
copper,refinery,Congo (Kinshasa),2020,1350000,t,
copper,refinery,Congo (Kinshasa),2021,1450000,t,
copper,refinery,Congo (Kinshasa),2022,1700000,t,
copper,refinery,Germany,2019,632000,t,
copper,refinery,Germany,2020,643000,t,
copper,refinery,Germany,2021,615000,t,
copper,refinery,Germany,2022,620000,t,
copper,refinery,Indonesia,2020,269000,t,
copper,refinery,Indonesia,2021,290000,t,
copper,refinery,Indonesia,2022,300000,t,
copper,refinery,Japan,2019,1500000,t,
copper,refinery,Japan,2020,1580000,t,
copper,refinery,Japan,2021,1510000,t,
copper,refinery,Japan,2022,1600000,t,
copper,refinery,Kazakhstan,2019,512000,t,
copper,refinery,Kazakhstan,2020,515000,t,
copper,refinery,Kazakhstan,2021,500000,t,
copper,refinery,Kazakhstan,2022,510000,t,
copper,refinery,Korea South,2019,665000,t,
copper,refinery,Korea South,2020,671000,t,
copper,refinery,Korea South,2021,647000,t,
copper,refinery,Korea South,2022,660000,t,
copper,refinery,Mexico,2019,477000,t,
copper,refinery,Mexico,2020,492000,t,
copper,refinery,Mexico,2021,473000,t,
copper,refinery,Mexico,2022,470000,t,
copper,refinery,Other countries,2019,3640000,t,
copper,refinery,Other countries,2020,3450000,t,
copper,refinery,Other countries,2021,3170000,t,
copper,refinery,Other countries,2022,3000000,t,
copper,refinery,Peru,2019,308000,t,
copper,refinery,Peru,2020,324000,t,
copper,refinery,Peru,2021,336000,t,
copper,refinery,Peru,2022,290000,t,
copper,refinery,Poland,2019,566000,t,
copper,refinery,Poland,2020,560000,t,
copper,refinery,Poland,2021,578000,t,
copper,refinery,Poland,2022,590000,t,
copper,refinery,Russia,2019,1050000,t,
copper,refinery,Russia,2020,1040000,t,
copper,refinery,Russia,2021,981000,t,
copper,refinery,Russia,2022,1100000,t,
copper,refinery,United States,2019,1030000,t,
copper,refinery,United States,2020,918000,t,
copper,refinery,United States,2021,971000,t,
copper,refinery,United States,2022,1000000,t,
copper,refinery,World,2019,24500000,t,
copper,refinery,World,2020,25300000,t,
copper,refinery,World,2021,25300000,t,
copper,refinery,World,2022,26000000,t,
copper,refinery,Zambia,2019,262000,t,
copper,refinery,Zambia,2020,378000,t,
copper,refinery,Zambia,2021,354000,t,
copper,refinery,Zambia,2022,350000,t,
diatomite,mine,Argentina,2003,25000,t,
diatomite,mine,Argentina,2009,40000,t,
diatomite,mine,Argentina,2010,50000,t,
diatomite,mine,Argentina,2011,62000,t,
diatomite,mine,Argentina,2012,55000,t,
diatomite,mine,Argentina,2013,55000,t,
diatomite,mine,Argentina,2014,100000,t,
diatomite,mine,Argentina,2015,200000,t,
diatomite,mine,Argentina,2016,200000,t,
diatomite,mine,Argentina,2017,57000,t,
diatomite,mine,Argentina,2018,70000,t,
diatomite,mine,Argentina,2019,70000,t,
diatomite,mine,Argentina,2020,94000,t,
diatomite,mine,Argentina,2021,100000,t,
diatomite,mine,Argentina,2022,100000,t,
diatomite,mine,Chile,2005,30000,t,
diatomite,mine,Chile,2006,30000,t,
diatomite,mine,Chile,2007,29000,t,
diatomite,mine,Chile,2008,25000,t,
diatomite,mine,China,1997,150000,t,
diatomite,mine,China,1998,350000,t,
diatomite,mine,China,1999,340000,t,
diatomite,mine,China,2000,350000,t,
diatomite,mine,China,2001,350000,t,
diatomite,mine,China,2002,370000,t,
diatomite,mine,China,2003,380000,t,
diatomite,mine,China,2004,390000,t,
diatomite,mine,China,2005,410000,t,
diatomite,mine,China,2006,410000,t,
diatomite,mine,China,2007,420000,t,
diatomite,mine,China,2008,440000,t,
diatomite,mine,China,2009,440000,t,
diatomite,mine,China,2010,400000,t,
diatomite,mine,China,2011,440000,t,
diatomite,mine,China,2012,420000,t,
diatomite,mine,China,2013,420000,t,
diatomite,mine,China,2014,420000,t,
diatomite,mine,China,2015,420000,t,
diatomite,mine,China,2016,420000,t,
diatomite,mine,China,2017,420000,t,
diatomite,mine,China,2018,420000,t,
diatomite,mine,China,2019,150000,t,
diatomite,mine,China,2020,140000,t,
diatomite,mine,China,2021,140000,t,
diatomite,mine,China,2022,140000,t,
diatomite,mine,Commonwealth of Independent States,2002,80000,t,
diatomite,mine,Commonwealth of Independent States,2003,80000,t,
diatomite,mine,Commonwealth of Independent States,2004,80000,t,
diatomite,mine,Commonwealth of Independent States,2005,80000,t,
diatomite,mine,Commonwealth of Independent States,2006,80000,t,
diatomite,mine,Commonwealth of Independent States,2007,80000,t,
diatomite,mine,Commonwealth of Independent States,2008,80000,t,
diatomite,mine,Commonwealth of Independent States,2009,80000,t,
diatomite,mine,Commonwealth of Independent States,2010,80000,t,
diatomite,mine,Costa Rica,2007,25000,t,
diatomite,mine,Costa Rica,2008,26000,t,
diatomite,mine,Czech Republic,2002,35000,t,
diatomite,mine,Czech Republic,2003,30000,t,
diatomite,mine,Czech Republic,2004,30000,t,
diatomite,mine,Czech Republic,2005,35000,t,
diatomite,mine,Czech Republic,2006,35000,t,
diatomite,mine,Czech Republic,2007,55000,t,
diatomite,mine,Czech Republic,2008,20000,t,
diatomite,mine,Czech Republic,2014,49000,t,
diatomite,mine,Czechia,2016,450000,t,
diatomite,mine,Denmark,1994,96000,t,
diatomite,mine,Denmark,1995,96000,t,
diatomite,mine,Denmark,1996,96000,t,
diatomite,mine,Denmark,1997,96000,t,
diatomite,mine,Denmark,1998,375000,t,
diatomite,mine,Denmark,1999,185000,t,
diatomite,mine,Denmark,2000,185000,t,
diatomite,mine,Denmark,2001,28000,t,
diatomite,mine,Denmark,2002,28000,t,
diatomite,mine,Denmark,2003,232000,t,
diatomite,mine,Denmark,2004,233000,t,
diatomite,mine,Denmark,2005,234000,t,
diatomite,mine,Denmark,2006,234000,t,
diatomite,mine,Denmark,2007,230000,t,
diatomite,mine,Denmark,2008,230000,t,
diatomite,mine,Denmark,2009,225000,t,
diatomite,mine,Denmark,2010,225000,t,
diatomite,mine,Denmark,2011,225000,t,
diatomite,mine,Denmark,2012,338000,t,
diatomite,mine,Denmark,2013,335000,t,
diatomite,mine,Denmark,2014,95000,t,
diatomite,mine,Denmark,2015,440000,t,
diatomite,mine,Denmark,2016,440000,t,
diatomite,mine,Denmark,2017,440000,t,
diatomite,mine,Denmark,2018,440000,t,
diatomite,mine,Denmark,2019,370000,t,
diatomite,mine,Denmark,2020,400000,t,
diatomite,mine,Denmark,2021,420000,t,
diatomite,mine,Denmark,2022,400000,t,
diatomite,mine,Former Soviet Union,1994,120000,t,
diatomite,mine,Former Soviet Union,1995,110000,t,
diatomite,mine,Former Soviet Union,1996,100000,t,
diatomite,mine,Former Soviet Union,1997,90000,t,
diatomite,mine,Former Soviet Union,1998,80000,t,
diatomite,mine,Former Soviet Union,1999,80000,t,
diatomite,mine,Former Soviet Union,2000,80000,t,
diatomite,mine,Former Soviet Union,2001,80000,t,
diatomite,mine,France,1994,250000,t,
diatomite,mine,France,1995,100000,t,
diatomite,mine,France,1996,85000,t,
diatomite,mine,France,1997,85000,t,
diatomite,mine,France,1998,80000,t,
diatomite,mine,France,1999,80000,t,
diatomite,mine,France,2000,75000,t,
diatomite,mine,France,2001,75000,t,
diatomite,mine,France,2002,75000,t,
diatomite,mine,France,2003,75000,t,
diatomite,mine,France,2004,75000,t,
diatomite,mine,France,2005,75000,t,
diatomite,mine,France,2006,75000,t,
diatomite,mine,France,2007,75000,t,
diatomite,mine,France,2008,75000,t,
diatomite,mine,France,2009,75000,t,
diatomite,mine,France,2010,75000,t,
diatomite,mine,France,2011,75000,t,
diatomite,mine,France,2012,75000,t,
diatomite,mine,France,2013,75000,t,
diatomite,mine,France,2014,75000,t,
diatomite,mine,France,2015,75000,t,
diatomite,mine,France,2016,75000,t,
diatomite,mine,France,2017,75000,t,
diatomite,mine,France,2018,75000,t,
diatomite,mine,France,2019,75000,t,
diatomite,mine,France,2020,75000,t,
diatomite,mine,France,2021,75000,t,
diatomite,mine,France,2022,80000,t,
diatomite,mine,Germany,1994,52000,t,
diatomite,mine,Germany,1995,50000,t,
diatomite,mine,Germany,1996,50000,t,
diatomite,mine,Germany,1997,50000,t,
diatomite,mine,Germany,2005,55000,t,
diatomite,mine,Germany,2006,55000,t,
diatomite,mine,Germany,2007,54000,t,
diatomite,mine,Germany,2008,54000,t,
diatomite,mine,Germany,2017,52000,t,
diatomite,mine,Germany,2018,52000,t,
diatomite,mine,Germany,2019,52000,t,
diatomite,mine,Germany,2020,52000,t,
diatomite,mine,Germany,2021,50000,t,
diatomite,mine,Germany,2022,50000,t,
diatomite,mine,Iceland,2007,28000,t,
diatomite,mine,Iceland,2008,28000,t,
diatomite,mine,Iceland,2009,26000,t,
diatomite,mine,Italy,2007,25000,t,
diatomite,mine,Italy,2008,25000,t,
diatomite,mine,Italy,2009,25000,t,
diatomite,mine,Japan,1997,194000,t,
diatomite,mine,Japan,1998,190000,t,
diatomite,mine,Japan,1999,190000,t,
diatomite,mine,Japan,2000,190000,t,
diatomite,mine,Japan,2001,180000,t,
diatomite,mine,Japan,2002,180000,t,
diatomite,mine,Japan,2003,180000,t,
diatomite,mine,Japan,2004,130000,t,
diatomite,mine,Japan,2005,130000,t,
diatomite,mine,Japan,2006,130000,t,
diatomite,mine,Japan,2007,120000,t,
diatomite,mine,Japan,2008,115000,t,
diatomite,mine,Japan,2009,110000,t,
diatomite,mine,Japan,2010,110000,t,
diatomite,mine,Japan,2011,100000,t,
diatomite,mine,Japan,2012,100000,t,
diatomite,mine,Japan,2013,90000,t,
diatomite,mine,Japan,2014,90000,t,
diatomite,mine,Japan,2015,100000,t,
diatomite,mine,Japan,2016,100000,t,
diatomite,mine,Japan,2017,100000,t,
diatomite,mine,Japan,2018,40000,t,
diatomite,mine,Japan,2019,40000,t,
diatomite,mine,Japan,2020,40000,t,
diatomite,mine,Japan,2021,40000,t,
diatomite,mine,Japan,2022,40000,t,
diatomite,mine,Korea South,1994,70000,t,
diatomite,mine,Korea South,1995,80000,t,
diatomite,mine,Korea South,1996,80000,t,
diatomite,mine,Korea South,1997,70000,t,
diatomite,mine,Korea South,1998,50000,t,
diatomite,mine,Korea South,1999,35000,t,
diatomite,mine,Korea South,2000,32000,t,
diatomite,mine,Korea South,2001,32000,t,
diatomite,mine,Korea South,2002,30000,t,
diatomite,mine,Korea South,2003,21000,t,
diatomite,mine,Korea South,2015,70000,t,
diatomite,mine,Korea South,2016,70000,t,
diatomite,mine,Korea South,2018,134000,t,
diatomite,mine,Korea South,2019,26000,t,
diatomite,mine,Korea South,2020,26000,t,
diatomite,mine,Korea South,2021,65000,t,
diatomite,mine,Korea South,2022,65000,t,
diatomite,mine,Mexico,1994,46000,t,
diatomite,mine,Mexico,1995,47000,t,
diatomite,mine,Mexico,1996,56000,t,
diatomite,mine,Mexico,1997,50000,t,
diatomite,mine,Mexico,1998,60000,t,
diatomite,mine,Mexico,1999,70000,t,
diatomite,mine,Mexico,2000,70000,t,
diatomite,mine,Mexico,2001,70000,t,
diatomite,mine,Mexico,2002,70000,t,
diatomite,mine,Mexico,2003,60000,t,
diatomite,mine,Mexico,2004,70000,t,
diatomite,mine,Mexico,2005,60000,t,
diatomite,mine,Mexico,2006,60000,t,
diatomite,mine,Mexico,2007,63000,t,
diatomite,mine,Mexico,2008,83000,t,
diatomite,mine,Mexico,2009,116000,t,
diatomite,mine,Mexico,2010,80000,t,
diatomite,mine,Mexico,2011,90000,t,
diatomite,mine,Mexico,2012,85000,t,
diatomite,mine,Mexico,2013,86000,t,
diatomite,mine,Mexico,2014,88000,t,
diatomite,mine,Mexico,2015,80000,t,
diatomite,mine,Mexico,2016,90000,t,
diatomite,mine,Mexico,2017,97000,t,
diatomite,mine,Mexico,2018,96000,t,
diatomite,mine,Mexico,2019,96000,t,
diatomite,mine,Mexico,2020,96000,t,
diatomite,mine,Mexico,2021,96000,t,
diatomite,mine,Mexico,2022,100000,t,
diatomite,mine,New Zealand,2018,40000,t,
diatomite,mine,New Zealand,2019,40000,t,
diatomite,mine,New Zealand,2020,40000,t,
diatomite,mine,New Zealand,2021,40000,t,
diatomite,mine,New Zealand,2022,40000,t,
diatomite,mine,Other countries,1994,157000,t,
diatomite,mine,Other countries,1995,164000,t,
diatomite,mine,Other countries,1996,205000,t,
diatomite,mine,Other countries,1997,200000,t,
diatomite,mine,Other countries,1998,200000,t,
diatomite,mine,Other countries,1999,200000,t,
diatomite,mine,Other countries,2000,200000,t,
diatomite,mine,Other countries,2001,200000,t,
diatomite,mine,Other countries,2002,170000,t,
diatomite,mine,Other countries,2003,175000,t,
diatomite,mine,Other countries,2004,202000,t,
diatomite,mine,Other countries,2005,156000,t,
diatomite,mine,Other countries,2006,156000,t,
diatomite,mine,Other countries,2007,136000,t,
diatomite,mine,Other countries,2008,132000,t,
diatomite,mine,Other countries,2009,50000,t,
diatomite,mine,Other countries,2010,125000,t,
diatomite,mine,Other countries,2011,160000,t,
diatomite,mine,Other countries,2012,181000,t,
diatomite,mine,Other countries,2013,131000,t,
diatomite,mine,Other countries,2014,122000,t,
diatomite,mine,Other countries,2015,121000,t,
diatomite,mine,Other countries,2016,120000,t,
diatomite,mine,Other countries,2017,224000,t,
diatomite,mine,Other countries,2018,143000,t,
diatomite,mine,Other countries,2019,120000,t,
diatomite,mine,Other countries,2020,120000,t,
diatomite,mine,Other countries,2021,140000,t,
diatomite,mine,Other countries,2022,140000,t,
diatomite,mine,Peru,2002,35000,t,
diatomite,mine,Peru,2003,35000,t,
diatomite,mine,Peru,2004,35000,t,
diatomite,mine,Peru,2005,35000,t,
diatomite,mine,Peru,2006,35000,t,
diatomite,mine,Peru,2007,35000,t,
diatomite,mine,Peru,2008,35000,t,
diatomite,mine,Peru,2012,81000,t,
diatomite,mine,Peru,2013,81000,t,
diatomite,mine,Peru,2014,125000,t,
diatomite,mine,Peru,2015,150000,t,
diatomite,mine,Peru,2016,120000,t,
diatomite,mine,Peru,2017,110000,t,
diatomite,mine,Peru,2018,110000,t,
diatomite,mine,Peru,2019,110000,t,
diatomite,mine,Peru,2020,91000,t,
diatomite,mine,Peru,2021,85000,t,
diatomite,mine,Peru,2022,85000,t,
diatomite,mine,Romania,2004,30000,t,
diatomite,mine,Romania,2005,30000,t,
diatomite,mine,Romania,2006,30000,t,
diatomite,mine,Russia,2013,70000,t,
diatomite,mine,Russia,2014,70000,t,
diatomite,mine,Russia,2015,70000,t,
diatomite,mine,Russia,2016,70000,t,
diatomite,mine,Russia,2018,47000,t,
diatomite,mine,Russia,2019,51000,t,
diatomite,mine,Russia,2020,51000,t,
diatomite,mine,Russia,2021,51000,t,
diatomite,mine,Russia,2022,50000,t,
diatomite,mine,Spain,1994,36000,t,
diatomite,mine,Spain,1995,36000,t,
diatomite,mine,Spain,1996,40000,t,
diatomite,mine,Spain,1997,40000,t,
diatomite,mine,Spain,1998,40000,t,
diatomite,mine,Spain,1999,36000,t,
diatomite,mine,Spain,2000,36000,t,
diatomite,mine,Spain,2001,36000,t,
diatomite,mine,Spain,2002,36000,t,
diatomite,mine,Spain,2003,35000,t,
diatomite,mine,Spain,2004,35000,t,
diatomite,mine,Spain,2005,35000,t,
diatomite,mine,Spain,2006,35000,t,
diatomite,mine,Spain,2007,34000,t,
diatomite,mine,Spain,2008,34000,t,
diatomite,mine,Spain,2009,50000,t,
diatomite,mine,Spain,2010,50000,t,
diatomite,mine,Spain,2011,50000,t,
diatomite,mine,Spain,2012,50000,t,
diatomite,mine,Spain,2013,50000,t,
diatomite,mine,Spain,2014,36000,t,
diatomite,mine,Spain,2015,50000,t,
diatomite,mine,Spain,2016,50000,t,
diatomite,mine,Spain,2017,50000,t,
diatomite,mine,Spain,2018,50000,t,
diatomite,mine,Spain,2019,50000,t,
diatomite,mine,Spain,2020,50000,t,
diatomite,mine,Spain,2021,50000,t,
diatomite,mine,Spain,2022,50000,t,
diatomite,mine,Turkey,2009,30000,t,
diatomite,mine,Turkey,2010,30000,t,
diatomite,mine,Turkey,2011,45000,t,
diatomite,mine,Turkey,2013,100000,t,
diatomite,mine,Turkey,2014,85000,t,
diatomite,mine,Turkey,2015,60000,t,
diatomite,mine,Turkey,2016,60000,t,
diatomite,mine,Turkey,2017,62000,t,
diatomite,mine,Turkey,2018,170000,t,
diatomite,mine,Turkey,2019,170000,t,
diatomite,mine,Turkey,2020,220000,t,
diatomite,mine,Turkey,2021,100000,t,
diatomite,mine,Turkey,2022,100000,t,
diatomite,mine,United States,1994,613000,t,
diatomite,mine,United States,1995,687000,t,
diatomite,mine,United States,1996,698000,t,
diatomite,mine,United States,1997,773000,t,
diatomite,mine,United States,1998,725000,t,
diatomite,mine,United States,1999,747000,t,
diatomite,mine,United States,2000,677000,t,
diatomite,mine,United States,2001,644000,t,
diatomite,mine,United States,2002,624000,t,
diatomite,mine,United States,2003,620000,t,
diatomite,mine,United States,2004,620000,t,
diatomite,mine,United States,2005,653000,t,
diatomite,mine,United States,2006,653000,t,
diatomite,mine,United States,2007,687000,t,
diatomite,mine,United States,2008,764000,t,
diatomite,mine,United States,2009,575000,t,
diatomite,mine,United States,2010,595000,t,
diatomite,mine,United States,2011,813000,t,
diatomite,mine,United States,2012,735000,t,
diatomite,mine,United States,2013,782000,t,
diatomite,mine,United States,2014,901000,t,
diatomite,mine,United States,2015,832000,t,
diatomite,mine,United States,2016,686000,t,
diatomite,mine,United States,2017,768000,t,
diatomite,mine,United States,2018,957000,t,
diatomite,mine,United States,2019,768000,t,
diatomite,mine,United States,2020,822000,t,
diatomite,mine,United States,2021,998000,t,
diatomite,mine,United States,2022,1100000,t,
diatomite,mine,World,1994,1440000,t,
diatomite,mine,World,1995,1370000,t,
diatomite,mine,World,1996,1410000,t,
diatomite,mine,World,1997,1800000,t,
diatomite,mine,World,1998,2150000,t,
diatomite,mine,World,1999,1960000,t,
diatomite,mine,World,2000,1890000,t,
diatomite,mine,World,2001,1700000,t,
diatomite,mine,World,2002,1730000,t,
diatomite,mine,World,2003,1950000,t,
diatomite,mine,World,2004,1930000,t,
diatomite,mine,World,2005,2020000,t,
diatomite,mine,World,2006,2160000,t,
diatomite,mine,World,2007,2100000,t,
diatomite,mine,World,2008,2200000,t,
diatomite,mine,World,2009,1840000,t,
diatomite,mine,World,2010,1820000,t,
diatomite,mine,World,2011,2100000,t,
diatomite,mine,World,2012,2120000,t,
diatomite,mine,World,2013,2270000,t,
diatomite,mine,World,2014,2260000,t,
diatomite,mine,World,2015,2670000,t,
diatomite,mine,World,2016,2950000,t,
diatomite,mine,World,2017,2460000,t,
diatomite,mine,World,2018,2840000,t,
diatomite,mine,World,2019,2190000,t,
diatomite,mine,World,2020,2320000,t,
diatomite,mine,World,2021,2450000,t,
diatomite,mine,World,2022,2500000,t,
feldspar,mine,Argentina,1999,80000,t,
feldspar,mine,Argentina,2000,61000,t,
feldspar,mine,Argentina,2001,60000,t,
feldspar,mine,Argentina,2002,60000,t,
feldspar,mine,Argentina,2003,60000,t,
feldspar,mine,Argentina,2006,150000,t,
feldspar,mine,Argentina,2007,170000,t,
feldspar,mine,Argentina,2008,292000,t,
feldspar,mine,Argentina,2009,214000,t,
feldspar,mine,Argentina,2010,215000,t,
feldspar,mine,Argentina,2011,215000,t,
feldspar,mine,Argentina,2012,215000,t,
feldspar,mine,Argentina,2013,230000,t,
feldspar,mine,Argentina,2014,220000,t,
feldspar,mine,Australia,2001,50000,t,
feldspar,mine,Australia,2002,50000,t,
feldspar,mine,Australia,2003,50000,t,
feldspar,mine,Brazil,1994,145000,t,
feldspar,mine,Brazil,1995,145000,t,
feldspar,mine,Brazil,1996,205000,t,
feldspar,mine,Brazil,1997,225000,t,
feldspar,mine,Brazil,1998,200000,t,
feldspar,mine,Brazil,1999,230000,t,
feldspar,mine,Brazil,2000,240000,t,
feldspar,mine,Brazil,2001,60000,t,
feldspar,mine,Brazil,2002,100000,t,
feldspar,mine,Brazil,2003,75000,t,
feldspar,mine,Brazil,2006,123000,t,
feldspar,mine,Brazil,2007,125000,t,
feldspar,mine,Brazil,2008,170000,t,
feldspar,mine,Brazil,2009,150000,t,
feldspar,mine,Brazil,2010,115000,t,
feldspar,mine,Brazil,2011,115000,t,
feldspar,mine,Brazil,2012,330000,t,
feldspar,mine,Brazil,2013,335000,t,
feldspar,mine,Brazil,2014,300000,t,
feldspar,mine,Brazil,2015,330000,t,
feldspar,mine,Brazil,2016,400000,t,
feldspar,mine,Brazil,2017,400000,t,
feldspar,mine,Brazil,2018,400000,t,
feldspar,mine,Brazil,2019,300000,t,
feldspar,mine,Brazil,2020,300000,t,
feldspar,mine,Brazil,2021,491000,t,
