x,y,pole_of_inaccessibility_latitude,cgi_commodity_url,quantity,yearbook_table_trans,yearbook_table_id,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,year,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity
94.13658799999999,63.462201,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,8200,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Russia,,,RU,Cobalt,,RUS,"Cobalt (mine production, metal content)",,94.136588,Ores and concentrates (metal content)
33.526313,39.351717,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,350,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Turkey,,,TR,Cobalt,,TUR,"Cobalt (mine production, metal content)",,33.526313,Ores and concentrates (metal content)
105.335928,21.894282,21.894282,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,299,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Vietnam,,,VN,Cobalt,,VNM,"Cobalt (mine production, metal content)",,105.335928,Ores and concentrates (metal content)
26.300237,-14.98326,-14.983260,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,0,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Zambia,,,ZM,Cobalt,*,ZMB,Cobalt (refined),Estimates.,26.300237,Refined
29.851884,-19.002536,-19.002536,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,376,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Zimbabwe,,,ZW,Cobalt,,ZWE,"Cobalt (mine production, metal content)",,29.851884,Ores and concentrates (metal content)
114.218582,-0.9663149999999999,-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,21600,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Indonesia,,,ID,Cobalt,,IDN,"Cobalt (mine production, metal content)",,114.218582,Ores and concentrates (metal content)
46.863413,-18.771091,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3500,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Madagascar,,,MG,Cobalt,*,MDG,Cobalt (refined),Estimates.,46.863413,Refined
-6.587161,31.846552,31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1506,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Morocco,,,MA,Cobalt,,MAR,Cobalt (refined),,-6.587161,Refined
-6.587161,31.846552,31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1506,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Morocco,,,MA,Cobalt,c,MAR,"Cobalt (mine production, metal content)",Metal and/or refined.,-6.587161,Ores and concentrates (metal content)
10.262436,61.687073999999996,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3464,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Norway,,,NO,Cobalt,,NOR,Cobalt (refined),,10.262436,Refined
94.13658799999999,63.462201,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1800,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Russia,,,RU,Cobalt,*,RUS,Cobalt (refined),Estimates.,94.136588,Refined
23.214465999999998,-30.457874999999998,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,200,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,South Africa,,,ZA,Cobalt,*|b,ZAF,Cobalt (refined),Estimates.|Includes metal and cobalt contained in sulphate.,23.214466,Refined
23.214465999999998,-30.457874999999998,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,378,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,South Africa,,,ZA,Cobalt,c,ZAF,"Cobalt (mine production, metal content)",Metal and/or refined.,23.214466,Ores and concentrates (metal content)
4.362657,50.839724,50.839724,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1000,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Belgium,,,BE,Cobalt,*|d,BEL,Cobalt (refined),Estimates.|Some refined cobalt production in China is recorded in Belgium.,4.362657,Refined
-49.028009999999995,-12.408957,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,350,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Brazil,,,BR,Cobalt,*,BRA,"Cobalt (mine production, metal content)",Estimates.,-49.028010,Ores and concentrates (metal content)
-119.677633,59.205383999999995,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,4923,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Canada,,,CA,Cobalt,a,CAN,Cobalt (refined),Including oxides.,-119.677633,Refined
109.537431,32.216659,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,140000,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,China,,,CN,Cobalt,*|d,CHN,Cobalt (refined),Estimates.|Some refined cobalt production in China is recorded in Belgium.,109.537431,Refined
109.537431,32.216659,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1500,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,China,,,CN,Cobalt,,CHN,"Cobalt (mine production, metal content)",,109.537431,Ores and concentrates (metal content)
-80.718912,22.366246999999998,22.366247,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3200,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Cuba,,,CU,Cobalt,*,CUB,"Cobalt (mine production, metal content)",Estimates.,-80.718912,Ores and concentrates (metal content)
27.679723,63.018750999999995,63.018751,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1057,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Finland,,,FI,Cobalt,,FIN,"Cobalt (mine production, metal content)",,27.679723,Ores and concentrates (metal content)
-97.834383,39.139831,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,500,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,USA,,,US,Cobalt,*,USA,"Cobalt (mine production, metal content)",Estimates.,-97.834383,Ores and concentrates (metal content)
26.300237,-14.98326,-14.983260,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,207,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Zambia,,,ZM,Cobalt,,ZMB,"Cobalt (mine production, metal content)",,26.300237,Ores and concentrates (metal content)
