x,y,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url
-80.718912,22.366246999999998,103,13700,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Cuba,,,CU,Nickel,,CUB,"Nickel, smelter/refinery",,2023-01-01 00:00:00,-80.718912,,22.366247,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
33.114833,34.90605,103,638,Smelter/refinery production of nickel,20299,tonnes (metric),Production,"nickel, smelter/refinery",,Cyprus,Sulfate,,CY,,,CYP,,,2023-01-01 00:00:00,33.114833,,34.906050,
-70.500342,18.899231999999998,103,17844,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Dominican Republic,,,DO,Nickel,,DOM,"Nickel, smelter/refinery",,2023-01-01 00:00:00,-70.500342,,18.899232,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-70.500342,18.899231999999998,102,17223,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Dominican Republic,,,DO,Nickel,,DOM,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,-70.500342,Ores and concentates (metal content),18.899232,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
2.452177,46.620563,103,7125,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,France,,,FR,Nickel,,FRA,"Nickel, smelter/refinery",,2023-01-01 00:00:00,2.452177,,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
22.009674999999998,39.740648,103,0,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Greece,,,GR,Nickel,,GRC,"Nickel, smelter/refinery",,2023-01-01 00:00:00,22.009675,,39.740648,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
22.009674999999998,39.740648,102,0,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Greece,,,GR,Nickel,,GRC,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,22.009675,Ores and concentates (metal content),39.740648,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-90.736761,15.240898,103,0,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Guatemala,,,GT,Nickel,,GTM,"Nickel, smelter/refinery",,2023-01-01 00:00:00,-90.736761,,15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-90.736761,15.240898,102,20300,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Guatemala,,,GT,Nickel,,GTM,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,-90.736761,Ores and concentates (metal content),15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
79.282538,22.642556,103,2000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,India,,,IN,Nickel,,IND,"Nickel, smelter/refinery",,2023-01-01 00:00:00,79.282538,,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
114.218582,-0.9663149999999999,102,2030000,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Indonesia,,,ID,Nickel,*,IDN,"Nickel (mine production, metal content)",Estimates.,2023-01-01 00:00:00,114.218582,Ores and concentates (metal content),-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-5.562523,7.5352689999999996,102,26300,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Ivory Coast,,,CI,Nickel,,CIV,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,-5.562523,Ores and concentates (metal content),7.535269,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
20.873742999999997,42.572883,102,14,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Kosovo,,,XK,Nickel,,1A0,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,20.873743,Ores and concentates (metal content),42.572883,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
46.863413,-18.771091,103,36000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Madagascar,,,MG,Nickel,,MDG,"Nickel, smelter/refinery",,2023-01-01 00:00:00,46.863413,,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
164.564138,-20.661227999999998,102,238807,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,New Caledonia,,,NC,Nickel,,NCL,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,164.564138,Ores and concentates (metal content),-20.661228,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
10.262436,61.687073999999996,103,95013,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Norway,,,NO,Nickel,,NOR,"Nickel, smelter/refinery",,2023-01-01 00:00:00,10.262436,,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
10.262436,61.687073999999996,102,300,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Norway,,,NO,Nickel,,NOR,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,10.262436,Ores and concentates (metal content),61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
19.394322,52.124770999999996,102,750,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Poland,,,PL,Nickel,,POL,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,19.394322,Ores and concentates (metal content),52.124771,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
94.13658799999999,63.462201,103,156000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Russia,,,RU,Nickel,,RUS,"Nickel, smelter/refinery",,2023-01-01 00:00:00,94.136588,,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
94.13658799999999,63.462201,102,256320,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Russia,,,RU,Nickel,,RUS,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,94.136588,Ores and concentates (metal content),63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
31.971487999999997,49.685680999999995,103,0,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Ukraine,,,UA,Nickel,,UKR,"Nickel, smelter/refinery",,2023-01-01 00:00:00,31.971488,,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-3.0,55.0,103,35851,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,United Kingdom,,,GB,Nickel,,GBR,"Nickel, smelter/refinery",,2023-01-01 00:00:00,-3.000000,,55.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
29.851884,-19.002536,102,16309,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Zimbabwe,,,ZW,Nickel,,ZWE,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,29.851884,Ores and concentates (metal content),-19.002536,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
