x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,year,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
16.971256999999998,-20.703654,NAM,"Copper (mine production, metal content)",Estimates.,16.971257,Ores and concentrates (metal content),-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,2000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Namibia,,,NA,Copper,*
21.7,41.6,MKD,"Copper, refined",,21.700000,,41.600000,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,600,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,North Macedonia,,,MK,Copper,
21.7,41.6,MKD,"Copper (mine production, metal content)",,21.700000,Ores and concentrates (metal content),41.600000,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,7378,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,North Macedonia,,,MK,Copper,
10.262436,61.687073999999996,NOR,"Copper, refined",,10.262436,,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,20086,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Norway,,,NO,Copper,
71.28184499999999,30.792002999999998,PAK,"Copper, smelter",,71.281845,,30.792003,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,17042,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Pakistan,,,PK,Copper,
-80.023774,9.023398,PAN,"Copper (mine production, metal content)",,-80.023774,Ores and concentrates (metal content),9.023398,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,330863,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Panama,,,PA,Copper,
143.89105,-5.631615,PNG,"Copper (mine production, metal content)",,143.891050,Ores and concentrates (metal content),-5.631615,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,87400,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Papua New Guinea,,,PG,Copper,
-73.03382599999999,-13.197341,PER,"Copper, smelter",Estimates.,-73.033826,,-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,330000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Peru,,,PE,Copper,*
-73.03382599999999,-13.197341,PER,"Copper, refined",,-73.033826,,-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,403300,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Peru,,,PE,Copper,
-73.03382599999999,-13.197341,PER,"Copper (mine production, metal content)",,-73.033826,Ores and concentrates (metal content),-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,2755244,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Peru,,,PE,Copper,
121.417908,17.522436,PHL,"Copper, smelter",,121.417908,,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,216900,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Philippines,,,PH,Copper,
121.417908,17.522436,PHL,"Copper, refined",,121.417908,,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,266532,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Philippines,,,PH,Copper,
121.417908,17.522436,PHL,"Copper (mine production, metal content)",,121.417908,Ores and concentrates (metal content),17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,61629,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Philippines,,,PH,Copper,
19.394322,52.124770999999996,POL,"Copper, smelter",,19.394322,,52.124771,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,479694,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Poland,,,PL,Copper,
19.394322,52.124770999999996,POL,"Copper, refined",,19.394322,,52.124771,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,592359,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Poland,,,PL,Copper,
